CntryCode,Region,delta13C,delta15N,delta18O,delta2H,delta34S,Long,Lat
ZW,SAfr,-20,8.6,19.4,-39,9.9,30,-21.65
ZA,SAfr,-19.4,8.8,16.6,-38.4,13.4,31.16,-22.83
ZW,SAfr,-22.2,10.4,15.1,-47.6,12.3,26.1,-18.9
ZW,SAfr,-19.2,9.2,19.3,-31.3,13.2,31.93,-20.72
BW,SAfr,-22.6,8.6,12.2,-51,5.4,29.02,-22.12
NAM,SAfr,-21.3,9,16.8,-55.7,10,22.82,-17.95
ZA,SAfr,-18.7,8.6,17.4,-32.6,17.5,26.31,-24.76
ZA,SAfr,-18.9,8.4,16.1,-44,18.5,26.31,-24.76
ZA,SAfr,-20.6,9.2,18.2,-35.9,17.1,31.16,-22.83
ZW,SAfr,-20.7,9.1,15.4,-53.8,7,29.2,-17.2
MW,SAfr,-19.7,6.8,14.8,-57.6,8.3,33.91,-12.75
BW,SAfr,-21.2,11.6,16.1,-38.8,12.3,22.46,-19.58
NAM,SAfr,-21.1,9.5,16.9,-38.8,12.4,21.8,-18.1
ZA,SAfr,-21,8.3,16.4,-40.4,13.9,30.63,-29.81
ZA,SAfr,-18.3,9.5,17.8,-34.3,10.7,30.63,-29.81
ZW,SAfr,-21.2,11.2,15.6,-55.9,8.2,30,-15.67
MZ,SAfr,-20.1,7.5,16.2,-35,9.7,37.44,-13.3
MZ,SAfr,-20.8,5.7,15,-43.6,6.9,37.55,-13.3
ZA,SAfr,-18.4,9,19.2,-22,18.2,26.31,-24.76
ZA,SAfr,-18.5,7.2,18,-32.4,16.2,31.16,-22.83
ZA,SAfr,-20.1,8.2,17,-46.6,15.8,31.45,-23.83
ZA,SAfr,-19,8,17.6,-29,15.7,31.66,-25.23
ZA,SAfr,-19,9,18.2,-33.1,17.3,31.66,-25.23
ZA,SAfr,-21.1,7.8,17.3,-42.8,13.8,31.66,-25.23
ZA,SAfr,-19.4,8.6,17.3,-26.2,14.5,31.16,-22.83
ZA,SAfr,-19.2,8.4,17.4,-26,17.7,31.16,-22.83
ZA,SAfr,-18.7,8.5,18,-26.9,17.6,31.16,-22.83
MZ,SAfr,-22,7.8,15.5,-39.5,10.1,38.22,-12.18
MZ,SAfr,-20.8,7,15.4,-40,7.5,39,-11.18
ZA,SAfr,-21.5,9.2,16.4,-38.6,15.2,31.84,-28.3
ZA,SAfr,-21.7,9,16.2,-38.6,15.4,31.84,-28.3
MZ,SAfr,-23.3,7.4,15.2,-45.8,9.1,37.84,-12.308
MZ,SAfr,-22.1,8,16.2,-44.5,7.6,37.84,-12.308
ZA,SAfr,-21,10,16.7,-34.4,15.1,31.84,-28.3
ZA,SAfr,-21,7.9,18.5,-41,13.9,32.29,-28.01
ZA,SAfr,-21.2,8.7,18.2,-36.3,12.8,32.29,-28.01
ZA,SAfr,-19.5,8.6,18.9,-30.9,14.1,31.66,-25.23
ZA,SAfr,-18.8,7,18,-43.7,16.9,31.16,-22.83
ZW,SAfr,-20.8,7,16.6,-43.8,5.2,29.15,-16.31
MZ,SAfr,-21.6,8,14.3,-38.5,6.1,37.35,-12
MZ,SAfr,-23.1,7,15.5,-45.2,8.6,37.84,-12.3
ZW,SAfr,-19.7,9.4,19.4,-39.5,13.6,31.93,-20.72
ZA,SAfr,-21.8,6.6,18.1,-42.4,10,31.29,-27.51
ZA,SAfr,-20,8,17.3,-40.3,6.9,27.07,-25.24
ZA,SAfr,-21.5,7.6,19.9,-29.1,5.9,27.07,-25.24
